Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Atlanta,Weekly,10/01/2021 00:00,Organic,1.468739357,33873.48,142.18,3068.21,0,13740.36,13740.36,0,0,16922.73
Baltimore/Washington,Weekly,10/01/2021 00:00,Organic,1.344200703,75804.14,629.41,3108.48,3.46,69182.66,67298.5,0,0,2880.13
Birmingham/Montgomery,Weekly,10/01/2021 00:00,Organic,1.169759354,11484.59,49.52,172.13,0,10498.7,9627.39,871.31,0,764.25
Boise,Weekly,10/01/2021 00:00,Organic,1.651448679,6069.24,9.7,834.24,0,2074.8,2074.8,0,0,3150.51
Boston,Weekly,10/01/2021 00:00,Organic,1.799804097,38765.74,163.5,1900.42,0,35391.81,35304.24,0,0,1310.02
Buffalo/Rochester,Weekly,10/01/2021 00:00,Organic,1.525589367,20498.41,1017.84,140.26,5.57,19334.74,19334.74,0,0,0
Charlotte,Weekly,10/01/2021 00:00,Organic,1.470396581,20164.52,128.75,3149.94,36.7,9593.1,9593.1,0,0,7256.03
Chicago,Weekly,10/01/2021 00:00,Organic,1.834782497,44403.55,621.78,3154.34,0,19128.12,18750.12,378,0,21499.31
Cincinnati/Dayton,Weekly,10/01/2021 00:00,Organic,1.573441561,13240.54,466.84,1843.79,0,3133.32,2766.4,366.92,0,7796.6
Columbus,Weekly,10/01/2021 00:00,Organic,1.585021179,11112.21,664,1185.71,0,3511.46,3060.63,450.83,0,5751.04
Dallas/Ft. Worth,Weekly,10/01/2021 00:00,Organic,1.29346278,62311.56,4683.26,1031.9,9491.15,28779.82,28779.82,0,0,18325.42
Denver,Weekly,10/01/2021 00:00,Organic,1.240458086,52938.57,6257.5,943.56,0,13427.4,13427.4,0,0,32310.12
Detroit,Weekly,10/01/2021 00:00,Organic,1.181108141,25547.01,383.4,2099.02,0,16291.99,16285.28,6.71,0,6772.6
Grand Rapids,Weekly,10/01/2021 00:00,Organic,1.177959381,7974.27,26.71,1363.48,0,6584.07,6513.71,63.66,0,0
Harrisburg/Scranton,Weekly,10/01/2021 00:00,Organic,1.222861876,21378.9,262.38,479.16,0,20623.19,19013.27,0,0,14.17
Hartford/Springfield,Weekly,10/01/2021 00:00,Organic,1.705725196,24127.58,507.59,6880.49,5.93,16623.44,10330.72,0,0,110.13
Houston,Weekly,10/01/2021 00:00,Organic,1.467454204,16306.53,5624.17,0,0,3456.99,3456.99,0,0,7225.37
Indianapolis,Weekly,10/01/2021 00:00,Organic,1.345812979,9334.74,161.16,807.57,0,4947.9,4318.15,629.75,0,3418.12
Jacksonville,Weekly,10/01/2021 00:00,Organic,1.131253886,11198.34,67.92,243.3,0,10862.05,10858.9,0,3.15,25.07
Las Vegas,Weekly,10/01/2021 00:00,Organic,1.515002156,17405.65,798.68,615.9,0,6965.18,6965.18,0,0,9025.89
Los Angeles,Weekly,10/01/2021 00:00,Organic,1.808293861,136464.3,8484.39,2829.72,9.81,44147.12,42761.12,1386,0,80993.26
Louisville,Weekly,10/01/2021 00:00,Organic,1.610983849,6084.18,10.23,854.9,0,1432.9,1194.59,238.31,0,3786.14
Miami/Ft. Lauderdale,Weekly,10/01/2021 00:00,Organic,1.037946298,46953.7,383.28,8.51,0,45206.07,45206.07,0,0,1355.84
Nashville,Weekly,10/01/2021 00:00,Organic,1.452333071,16696.51,19.88,1315.28,0,7110.65,7110.65,0,0,8250.7
Northern New England,Weekly,10/01/2021 00:00,Organic,1.794609081,18415.05,112.91,700.14,0,15599.05,15524.11,0,0,2002.95
New Orleans/Mobile,Weekly,10/01/2021 00:00,Organic,1.017596628,14060.77,46.83,0,0,13453.84,10807.33,2646.51,0,560.1
New York,Weekly,10/01/2021 00:00,Organic,1.423415096,164443.55,10276.98,7571.5,18.65,138380.1,79577.45,0,0,8196.33
Orlando,Weekly,10/01/2021 00:00,Organic,1.029252164,30005.57,77.93,0,0,29665.75,29665.75,0,0,261.89
Peoria/Springfield,Weekly,10/01/2021 00:00,Organic,1.524457674,4149.3,17.41,570.68,0,2572.39,2572.39,0,0,988.82
Philadelphia,Weekly,10/01/2021 00:00,Organic,1.407619973,39301.85,1671.82,1801.64,0,32241.35,19071.19,0,3.15,3587.04
Phoenix/Tucson,Weekly,10/01/2021 00:00,Organic,1.287882471,39270.47,2726.18,5253.49,0,18219.21,18160.28,0,3.15,13071.58
Pittsburgh,Weekly,10/01/2021 00:00,Organic,1.358288865,12365.53,1884.25,1.41,0,9589.83,9589.83,0,0,890.03
Portland,Weekly,10/01/2021 00:00,Organic,1.774679798,43267.23,1243.81,9787.81,0,5880.92,4849.95,0,0,26354.69
Providence,Weekly,10/01/2021 00:00,Organic,1.961955992,4123.71,64.78,7.8,0,4047.23,4033.06,0,0,3.9
Raleigh/Greensboro,Weekly,10/01/2021 00:00,Organic,1.463213963,25173.89,841.96,3179.79,82.39,10747.81,10747.81,0,0,10321.93
Richmond/Norfolk,Weekly,10/01/2021 00:00,Organic,1.046260409,31119.7,11.79,1497.18,4.38,22651.76,22651.76,0,0,6954.61
Roanoke,Weekly,10/01/2021 00:00,Organic,1.179400687,13445.05,26.13,1536.27,0,8049.63,8049.63,0,0,3833.02
Sacramento,Weekly,10/01/2021 00:00,Organic,1.779693444,22392.81,2878.22,2967.12,0,13121.23,12137.28,0,0,3426.24
San Diego,Weekly,10/01/2021 00:00,Organic,1.82958423,33805.12,1226.44,1086.62,7.16,15220.77,14667.45,0,0,16264.13
San Francisco,Weekly,10/01/2021 00:00,Organic,1.804813596,78352.04,2544.17,5650.45,9.4,48359.84,46701.83,0,0,21788.17
Seattle,Weekly,10/01/2021 00:00,Organic,1.943653183,61154.78,1017.08,11759.78,5.62,13876.84,9713.81,0,0,34495.45
South Carolina,Weekly,10/01/2021 00:00,Organic,1.37118131,27405.09,777.29,2559.16,112.69,16377.58,16377.58,0,0,7578.37
Spokane,Weekly,10/01/2021 00:00,Organic,1.86297346,4997.12,152.63,1234.3,0,873.73,873.73,0,0,2736.46
St. Louis,Weekly,10/01/2021 00:00,Organic,1.79738164,6561.4,750.94,916.92,0,3568.14,3568.14,0,0,1325.4
Syracuse,Weekly,10/01/2021 00:00,Organic,1.576451484,5682.57,297.97,154.41,0,5139.9,5117.93,0,0,90.29
Tampa,Weekly,10/01/2021 00:00,Organic,0.908717199,29880.27,101.84,0,0,29616.74,29613.59,0,3.15,161.7
Toledo,Weekly,10/01/2021 00:00,Organic,1.505291235,4782.33,52.65,692.06,0,1838.35,1834.94,3.41,0,2199.28
West Tex/New Mexico,Weekly,10/01/2021 00:00,Organic,1.027416702,93462.27,1130.71,6976.39,49507.87,16561.26,16561.26,0,0,19286.05
Wichita,Weekly,10/01/2021 00:00,Organic,1.380788128,3497.01,376.71,10.94,0,974.53,974.53,0,0,2134.82
California,Weekly,10/01/2021 00:00,Organic,1.810751702,331679.18,19682.39,19069.43,34.25,151325.44,142354.69,1386,0,141567.66
Great Lakes,Weekly,10/01/2021 00:00,Organic,1.49906509,177313.35,5910.94,16457.8,0,90923.95,88436.56,2464.6,12.6,64020.67
Midsouth,Weekly,10/01/2021 00:00,Organic,1.340853605,265461.37,2560.66,22561.88,183.15,171585.51,168442.42,274.42,3.15,68570.16
Northeast,Weekly,10/01/2021 00:00,Organic,1.488627563,387107.47,17779.37,22419.04,31.49,330018.34,238362.91,0,3.15,16859.24
Plains,Weekly,10/01/2021 00:00,Organic,1.37468799,52136.03,8105.45,2168.16,13.74,34838.98,31661.33,3136,0,7009.69
South Central,Weekly,10/01/2021 00:00,Organic,1.195924349,209537.73,14618.84,6705.12,49464.05,100385.17,98416.42,1968.75,0,38364.55
Southeast,Weekly,10/01/2021 00:00,Organic,1.149331936,247939.42,1928.51,8563.85,127.96,204132.31,201495,2627.86,9.45,33186.79
West,Weekly,10/01/2021 00:00,Organic,1.479339499,375783.51,19776.35,44448.33,24606.67,106184.54,99111.2,0,3.15,180767.63
Total U.S.,Weekly,10/01/2021 00:00,Organic,1.446895649,2046958.06,90362.52,142393.62,74461.3,1189394.22,1068280.54,11857.62,31.5,550346.4
Albany,Weekly,17/01/2021 00:00,Conventional,1.282429484,137768.36,6731.51,97866.24,35.19,26561.74,23403.88,2961,0,6573.68
Atlanta,Weekly,17/01/2021 00:00,Conventional,0.858344057,828572.83,321130.25,30612.43,38.23,209725.54,192201.26,13072.89,2112.83,267066.38
Baltimore/Washington,Weekly,17/01/2021 00:00,Conventional,1.163868347,1073519.32,254348.42,335621.82,3600.72,388151.39,359885.11,14.7,18162.9,91796.97
Birmingham/Montgomery,Weekly,17/01/2021 00:00,Conventional,0.80722563,357610.4,166189.98,9569.24,24.43,118042.04,101516.47,13415.46,2646.53,63784.71
Boise,Weekly,17/01/2021 00:00,Conventional,1.014881291,140926.58,31406.53,11615.09,1066.88,31039.18,25421.46,9.45,187.8,65798.9
Boston,Weekly,17/01/2021 00:00,Conventional,1.261541082,764873.05,18264.26,392203.5,138.87,258091.01,172556.43,84796.49,0,96175.41
Buffalo/Rochester,Weekly,17/01/2021 00:00,Conventional,1.035947385,230743.72,26379.23,61705.85,2722.64,134299.86,128979.71,4309.2,922.95,5636.14
Charlotte,Weekly,17/01/2021 00:00,Conventional,1.07124939,352969.28,133366.57,51035.06,3801.09,133130.42,98690.63,13956.21,0,31636.14
Chicago,Weekly,17/01/2021 00:00,Conventional,1.130640636,1056035.08,110412.51,211522.42,41351.69,236076.45,220153.15,1664.91,13472.55,456672
Cincinnati/Dayton,Weekly,17/01/2021 00:00,Conventional,0.923954739,356654.31,52591.65,76819.19,3009.94,35060.39,27407.63,306.73,5624.99,189173.14
Columbus,Weekly,17/01/2021 00:00,Conventional,0.837463108,298291.45,54790.65,58331.87,418.22,44677.44,37377.61,0,6336.41,140073.26
Dallas/Ft. Worth,Weekly,17/01/2021 00:00,Conventional,0.691865881,1590449.98,604627.11,155013.25,15894.39,456482.62,401380.27,609,52759.28,358432.62
Denver,Weekly,17/01/2021 00:00,Conventional,0.895995312,1232123.11,200187.12,131045.16,2250.69,251775.79,210744.58,17625.37,12192.9,646864.36
Detroit,Weekly,17/01/2021 00:00,Conventional,0.898201131,628474.62,87132.25,107505.97,136920,95026.09,87834.59,6.3,5749.66,201890.3
Grand Rapids,Weekly,17/01/2021 00:00,Conventional,1.00178448,291492.34,17451.5,84575.23,133189.32,33926.59,30583.75,0,3263.4,22349.69
Harrisburg/Scranton,Weekly,17/01/2021 00:00,Conventional,1.022627114,411280.92,151377.67,111450.99,109.35,139592.51,126879.67,8419.95,3824.1,8750.39
Hartford/Springfield,Weekly,17/01/2021 00:00,Conventional,1.217015141,392060.95,11169.23,279137.7,165.78,97240.89,92262.4,4523.4,0,4347.35
Houston,Weekly,17/01/2021 00:00,Conventional,0.759499011,1132069.77,485452.63,203602.96,2351.13,211178.87,182079.82,50.4,27911.83,229484.18
Indianapolis,Weekly,17/01/2021 00:00,Conventional,0.845567337,314830.3,51808.69,91430.22,1782.65,64501.28,53402.28,4957.31,5266.02,105307.47
Jacksonville,Weekly,17/01/2021 00:00,Conventional,0.824781122,241056.64,90824.15,10056.51,77.74,79305.13,68540.99,10694.64,0,60793.11
Las Vegas,Weekly,17/01/2021 00:00,Conventional,0.92613509,385274.82,54145.13,27934.43,71.79,139536.81,122897.6,15.75,4704.24,163586.66
Los Angeles,Weekly,17/01/2021 00:00,Conventional,1.143124868,3249896.6,829750.37,60560.59,170080.2,734265.58,632799.1,29613.15,40053.31,1455239.86
Louisville,Weekly,17/01/2021 00:00,Conventional,0.946470458,137954.49,22498.25,20885.39,38.86,41844.93,34626.36,5445.17,988.8,52687.07
Miami/Ft. Lauderdale,Weekly,17/01/2021 00:00,Conventional,0.846461093,1090658.5,498566.96,40388.72,106.76,295857.66,267556.17,4014.54,23880.15,255738.4
Nashville,Weekly,17/01/2021 00:00,Conventional,0.852066851,314129.3,108710.93,19017.42,5.05,95583.46,81191.79,10336.59,1816.7,90812.44
Northern New England,Weekly,17/01/2021 00:00,Conventional,1.125189622,553072.59,15763.13,370337.91,84.95,112486.29,71384.8,40891.38,0,54400.31
New Orleans/Mobile,Weekly,17/01/2021 00:00,Conventional,0.725570363,376501.46,153233.91,24291.95,47.82,140320.5,122974.67,4295.16,12927.6,58607.28
New York,Weekly,17/01/2021 00:00,Conventional,1.088377914,2164305.5,64202.32,1250993.3,831.01,781603.24,765774.85,14669.92,0,66675.63
Orlando,Weekly,17/01/2021 00:00,Conventional,0.797889062,634343.38,239496.26,15964.35,78.57,247868.82,223327.53,14070.79,10262.7,130935.38
Peoria/Springfield,Weekly,17/01/2021 00:00,Conventional,0.834423503,157539.88,35007.34,42157.3,472.37,40874.78,33547.21,3507.13,3475.32,39028.09
Philadelphia,Weekly,17/01/2021 00:00,Conventional,1.017590329,682797.01,132526.61,251253.04,343.35,250813.18,239776.62,8405.67,437.85,47860.83
Phoenix/Tucson,Weekly,17/01/2021 00:00,Conventional,0.750780479,1421414.99,530393.83,146661.94,4423.2,198597.77,148690.61,6.3,33384.21,541338.26
Pittsburgh,Weekly,17/01/2021 00:00,Conventional,0.936475095,161052.64,45213.43,12936.85,34.16,44372.7,39438.64,11.03,4876.2,58495.5
Portland,Weekly,17/01/2021 00:00,Conventional,0.917613423,895991.83,116674.42,106821.75,4930.61,164959.32,153800.6,7398.17,2055.19,502605.72
Providence,Weekly,17/01/2021 00:00,Conventional,1.304400617,106876.6,3250.59,57517.61,31.31,32706.14,18815.03,13811.84,0,13370.95
Raleigh/Greensboro,Weekly,17/01/2021 00:00,Conventional,0.997757585,458605.74,180347.42,71211.68,3966.46,170708.3,121575.97,16265.16,0,32371.88
Richmond/Norfolk,Weekly,17/01/2021 00:00,Conventional,1.020840672,326821.08,86382.91,68507.28,768.37,89373.05,57011.49,216.83,9947.1,81789.47
Roanoke,Weekly,17/01/2021 00:00,Conventional,0.925562826,206065.16,61244.91,28984.96,31.02,51255.79,35883.03,4335.06,4305.7,64548.48
Sacramento,Weekly,17/01/2021 00:00,Conventional,1.29397097,514478.98,127772.01,187924.58,3178.62,111375.09,110623.38,37.8,0,84228.68
San Diego,Weekly,17/01/2021 00:00,Conventional,1.216845242,565658.26,106507,26632.92,19381.84,112231.85,100208.1,7818.3,3436.08,300904.66
San Francisco,Weekly,17/01/2021 00:00,Conventional,1.48188355,840029.25,187959.31,208364.2,7139.81,156248.55,155765.41,9.45,0,280317.38
Seattle,Weekly,17/01/2021 00:00,Conventional,1.150642878,694277.62,75297.59,94986.9,278.78,73494.52,64352.14,5101.82,2436.75,450219.84
South Carolina,Weekly,17/01/2021 00:00,Conventional,0.933744723,544854.28,203967.58,48220.28,1376.24,175486.83,134938.96,25018.09,664.17,115803.34
Spokane,Weekly,17/01/2021 00:00,Conventional,0.982086539,97731.37,18707,13148,24.83,14276.25,11929.39,2188.46,0,51575.29
St. Louis,Weekly,17/01/2021 00:00,Conventional,0.881467468,230310.16,96123.83,12261.55,56.46,75645.69,67707.07,7690.33,0,46222.63
Syracuse,Weekly,17/01/2021 00:00,Conventional,1.121118971,101853.19,9531.44,41747.42,673.05,44688.04,41680.74,2847.6,0,5213.25
Tampa,Weekly,17/01/2021 00:00,Conventional,0.803219352,669130.7,258190.7,21119.35,32.8,208585.01,190621.82,32.94,17655.75,181202.84
Toledo,Weekly,17/01/2021 00:00,Conventional,0.840323615,183471.04,26526.79,39593.65,23525.82,28847.82,23634.44,989.89,3755.19,64976.96
West Tex/New Mexico,Weekly,17/01/2021 00:00,Conventional,0.669383568,1011455.45,322900.82,103526.76,9642.98,399296.81,356152.77,8850.1,33409.29,176088.09
Wichita,Weekly,17/01/2021 00:00,Conventional,0.715242008,116713.67,32042.97,4304.96,4.37,37927.11,32269.93,3084.24,2114.29,42434.27
California,Weekly,17/01/2021 00:00,Conventional,1.221774373,6564907.82,1663400.07,770165.4,225330.28,1375630.52,1248059.09,40332.6,46487.99,2530381.55
Great Lakes,Weekly,17/01/2021 00:00,Conventional,0.940249749,5124476.6,729013.41,1190384.3,548427.54,928567.03,810861.81,25361.08,84199.74,1728084.31
Midsouth,Weekly,17/01/2021 00:00,Conventional,1.007753364,4263386.86,1331064.97,796044.8,14854.99,1393365.65,1092844.97,96736.24,53876.31,728056.46
Northeast,Weekly,17/01/2021 00:00,Conventional,1.112925786,6211663.95,523746.51,3199526.73,7324.42,2079668.19,1860464.88,200938.07,14108.85,401398.1
Plains,Weekly,17/01/2021 00:00,Conventional,0.859684495,2277500.29,676015.66,611130.23,1551.24,681672.53,569971.88,45285.82,50814.36,307130.65
South Central,Weekly,17/01/2021 00:00,Conventional,0.694374905,6459681.34,2791187.82,735173.22,112785.81,1745099.12,1496778.78,99687.66,140806.07,1075435.37
Southeast,Weekly,17/01/2021 00:00,Conventional,0.832986371,5866774.67,2389384.37,236216.07,2312.89,1798784.66,1568968.11,123109.22,82139.73,1440076.68
West,Weekly,17/01/2021 00:00,Conventional,0.884671285,8096256.58,1853292.02,872107.57,22407.52,1651035.5,1378071.67,63796.17,106636.16,3697413.97
Total U.S.,Weekly,17/01/2021 00:00,Conventional,0.948219379,44864648.1,11957104.81,8410748.32,934994.69,11653823.19,10026021.18,695246.86,579069.22,11907977.09
Albany,Weekly,17/01/2021 00:00,Organic,1.528297276,3612.42,136.88,372.95,0,2878.91,2606.04,0,0,223.68
Atlanta,Weekly,17/01/2021 00:00,Organic,1.59287204,34340.43,63.12,2977.82,0,14590.62,14584.32,0,6.3,16708.86
Baltimore/Washington,Weekly,17/01/2021 00:00,Organic,1.312893135,77379.2,752.27,3676.14,3.45,68853.86,68258.86,0,0,4093.48
Birmingham/Montgomery,Weekly,17/01/2021 00:00,Organic,1.211355276,12070.29,39.41,267.86,0,10897.39,10470.27,427.12,0,865.62
Boise,Weekly,17/01/2021 00:00,Organic,1.585661798,5998.73,16.54,680.38,0,1843.8,1843.8,0,0,3458
Boston,Weekly,17/01/2021 00:00,Organic,1.857638003,36991.54,164.05,1691.22,0,33951.18,33856.86,0,0,1185.09
Buffalo/Rochester,Weekly,17/01/2021 00:00,Organic,1.649391939,15853.42,977.88,88.97,10.01,14776.56,14776.56,0,0,0
Charlotte,Weekly,17/01/2021 00:00,Organic,1.46128114,19814.15,76.65,2924.42,21.95,9334.04,9334.04,0,0,7457.08
Chicago,Weekly,17/01/2021 00:00,Organic,1.765424705,45530.07,629.36,3470.91,0,19187.66,18914.66,273,0,22242.15
Cincinnati/Dayton,Weekly,17/01/2021 00:00,Organic,1.619207663,16290.01,516.54,2348.24,0,2369.59,2177.86,191.72,0,11055.65
Columbus,Weekly,17/01/2021 00:00,Organic,1.582345908,11800,1158.14,1248.42,0,3213.75,3008.52,205.24,0,6179.69
Dallas/Ft. Worth,Weekly,17/01/2021 00:00,Organic,1.421245589,52327.27,3869.31,154.78,2048.88,30001.04,30001.04,0,0,16253.27
Denver,Weekly,17/01/2021 00:00,Organic,1.379514377,39145.6,3570.17,697.15,0,11434.11,11434.11,0,0,23444.17
Detroit,Weekly,17/01/2021 00:00,Organic,1.499984683,17571.41,495.48,2308.64,0,5492.76,5492.76,0,0,9274.52
Grand Rapids,Weekly,17/01/2021 00:00,Organic,1.376880687,6040.39,28.38,1013.35,0,4998.66,4938.52,0,0,0
Harrisburg/Scranton,Weekly,17/01/2021 00:00,Organic,1.254319918,20455.43,772.47,518.18,0,19122.52,18548.95,0,0,42.26
Hartford/Springfield,Weekly,17/01/2021 00:00,Organic,1.956796027,19749.51,1276.26,6551.16,0,11702.93,10534.34,0,0,219.17
Houston,Weekly,17/01/2021 00:00,Organic,1.640973286,14659.9,4772.24,4.07,0,3620.66,3620.66,0,0,6262.94
Indianapolis,Weekly,17/01/2021 00:00,Organic,1.41187198,10474.25,152.33,1118.86,0,4200.95,3372.65,828.3,0,5002.11
Jacksonville,Weekly,17/01/2021 00:00,Organic,1.151109486,11190.01,59.7,196.94,0,10882.1,10702.55,0,179.55,51.27
Las Vegas,Weekly,17/01/2021 00:00,Organic,1.556179267,17441.05,844.49,492.26,0,6957.43,6957.43,0,0,9146.87
Los Angeles,Weekly,17/01/2021 00:00,Organic,1.779607994,144942.18,9178.99,2518.91,5.6,46703.08,45087.13,1587.6,28.35,86535.6
Louisville,Weekly,17/01/2021 00:00,Organic,1.958620787,5687.24,0.94,711.87,0,1288.89,1238.74,46.99,3.15,3685.54
Miami/Ft. Lauderdale,Weekly,17/01/2021 00:00,Organic,1.020047607,47947.07,252.56,5.68,0,46395.88,46005.28,0,390.6,1292.95
Nashville,Weekly,17/01/2021 00:00,Organic,1.588601988,16600.04,33.14,1359.13,0,7454.41,7454.41,0,0,7753.35
Northern New England,Weekly,17/01/2021 00:00,Organic,1.818500218,17579.59,82.85,599.3,0,14863.61,14785.26,0,0,2033.82
New Orleans/Mobile,Weekly,17/01/2021 00:00,Organic,1.003013776,12663.82,27.86,0,0,12120.62,10789.28,1331.34,0,515.34
New York,Weekly,17/01/2021 00:00,Organic,1.568892971,140801.07,19443.48,11542.82,10.52,100337.61,87648.94,0,0,9466.64
Orlando,Weekly,17/01/2021 00:00,Organic,1.028691702,29671.64,111.88,0,0,29322.45,28106.55,0,1215.9,237.3
Peoria/Springfield,Weekly,17/01/2021 00:00,Organic,1.525268074,3838.56,8.51,521.74,0,2365.86,2365.86,0,0,942.46
Philadelphia,Weekly,17/01/2021 00:00,Organic,1.572146029,34363.79,3249.33,3056.81,0,23943.5,19783.54,0,3.15,4114.15
Phoenix/Tucson,Weekly,17/01/2021 00:00,Organic,1.298599179,37770.22,3626.73,5387.86,0,18478.56,18478.56,0,0,10277.08
Pittsburgh,Weekly,17/01/2021 00:00,Organic,1.284031468,13639.9,3116.34,0,0,9092.77,9092.77,0,0,1430.79
Portland,Weekly,17/01/2021 00:00,Organic,1.602377708,46232.76,1040.21,8458.55,0,5667.38,4754.4,0,0,31066.62
Providence,Weekly,17/01/2021 00:00,Organic,1.958098126,4403.97,22.53,10.41,0,4371.03,4352.13,0,0,0
Raleigh/Greensboro,Weekly,17/01/2021 00:00,Organic,1.473325132,24791.58,735.75,3247.92,69.4,10255.57,10255.57,0,0,10482.93
Richmond/Norfolk,Weekly,17/01/2021 00:00,Organic,1.117262871,32410.42,38.55,1537.34,2.19,22788.84,22788.84,0,0,8043.5
Roanoke,Weekly,17/01/2021 00:00,Organic,1.2668261,13959.49,35.6,1423.14,0,8340.79,8340.79,0,0,4159.96
Sacramento,Weekly,17/01/2021 00:00,Organic,1.748557589,22953.08,2752.06,2334.66,0,14456.15,13584.84,0,0,3410.21
San Diego,Weekly,17/01/2021 00:00,Organic,1.854992394,37016.85,1338.58,1212.88,0,15872.23,14678.53,0,9.45,18593.17
San Francisco,Weekly,17/01/2021 00:00,Organic,1.85088528,82736.87,2922.43,5402.09,1.34,51469.39,49780.39,0,0,22941.62
Seattle,Weekly,17/01/2021 00:00,Organic,1.706173845,84780.05,889,13138.42,5.62,15748.2,11235.79,0,0,54998.81
South Carolina,Weekly,17/01/2021 00:00,Organic,1.396349292,27374.49,731.62,2135.01,101.61,17161.66,17114.41,0,47.25,7244.59
Spokane,Weekly,17/01/2021 00:00,Organic,1.874465706,4148.08,121.1,775.71,0,843.41,843.41,0,0,2407.86
St. Louis,Weekly,17/01/2021 00:00,Organic,1.774625696,6984.79,821.73,1086.16,0,3972.44,3972.44,0,0,1104.47
Syracuse,Weekly,17/01/2021 00:00,Organic,1.645952565,4415.32,250.21,134.46,0,3925.31,3892.43,0,0,105.34
Tampa,Weekly,17/01/2021 00:00,Organic,0.895520596,29013.62,111.4,0,0,28718.47,28718.47,0,0,183.75
Toledo,Weekly,17/01/2021 00:00,Organic,1.529471315,4838.53,82.9,640.85,0,1693.95,1680.56,10.24,3.15,2420.83
West Tex/New Mexico,Weekly,17/01/2021 00:00,Organic,1.33410113,45994.53,1657.74,1530.05,9689.33,24309.21,24309.21,0,0,8808.21
Wichita,Weekly,17/01/2021 00:00,Organic,1.380135565,3402.93,396.38,19.65,0,991.33,991.33,0,0,1995.56
California,Weekly,17/01/2021 00:00,Organic,1.813524861,350705.52,20920.77,17706.92,8.43,159852.59,150483.94,1587.6,37.8,152216.8
Great Lakes,Weekly,17/01/2021 00:00,Organic,1.569606691,172884.83,7469.16,17181.35,0,73735.24,71700.73,1946.68,6.3,74499.08
Midsouth,Weekly,17/01/2021 00:00,Organic,1.376553822,267346.14,2634.66,22515.93,146.8,169822.8,168851.57,58.48,3.15,72225.95
Northeast,Weekly,17/01/2021 00:00,Organic,1.610486115,340200.93,33136.97,27767.08,20.8,259662.15,238316.45,0,3.15,19613.93
Plains,Weekly,17/01/2021 00:00,Organic,1.328390594,52457.77,7155.38,2473.25,27.55,36182.94,35541.38,588.8,9.45,6618.63
