Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Miami/Ft. Lauderdale,Weekly,10/01/2021 00:00,Conventional,0.847361797,1036237.02,467979.75,36582.06,107.83,282214.63,253651.38,3571.97,24261.3,249352.75
Nashville,Weekly,10/01/2021 00:00,Conventional,0.834076843,321598.25,107183.09,17945.2,178,86650.62,71439.93,10636.5,2351.84,109641.34
Northern New England,Weekly,10/01/2021 00:00,Conventional,1.12514792,536667.79,13147.45,363105.2,66.84,98526.87,84617.35,13544.54,0,61821.43
New Orleans/Mobile,Weekly,10/01/2021 00:00,Conventional,0.705855577,370570.86,143785.52,19845.44,55.86,148585.97,131492.73,3371.42,13614.3,58298.06
New York,Weekly,10/01/2021 00:00,Conventional,1.110213803,2040568.33,62295.79,1214946.86,931.8,687219.5,674342.41,11584.31,0,75174.38
Orlando,Weekly,10/01/2021 00:00,Conventional,0.794400059,630781.74,262206.55,14885.26,130.44,220794.24,198293.97,10778.78,11336.85,132765.25
Peoria/Springfield,Weekly,10/01/2021 00:00,Conventional,0.852060087,140457.31,37439.46,28794.9,388.15,39047.39,32865.02,3054.32,2822.45,34787.42
Philadelphia,Weekly,10/01/2021 00:00,Conventional,0.964727954,701676.33,128393.1,247310.05,207.17,273259.87,264364.4,6114.15,529.2,52506.15
Phoenix/Tucson,Weekly,10/01/2021 00:00,Conventional,0.715936812,1460379.23,447031.74,178376.87,4180.95,190993.05,139213.37,59.85,37866.08,639796.62
Pittsburgh,Weekly,10/01/2021 00:00,Conventional,1.125969477,126210.18,30124.18,13941.77,8.98,43389.69,38869.53,128.1,4321.8,38745.56
Portland,Weekly,10/01/2021 00:00,Conventional,1.017842705,778664.76,127667.59,110054.93,3733.05,96772.73,85966.8,7350.92,1844.52,440436.46
Providence,Weekly,10/01/2021 00:00,Conventional,1.384932353,92706.08,3129.09,53566.82,32.38,18366.74,14657.11,3600.47,0,17611.05
Raleigh/Greensboro,Weekly,10/01/2021 00:00,Conventional,0.905308131,506532.36,202887.77,67624.19,3734.18,192366.15,142483.98,16249.01,0,39920.07
Richmond/Norfolk,Weekly,10/01/2021 00:00,Conventional,0.921268334,352397.86,103659.16,73103.41,698.44,85040.35,57045.92,75.21,9677.64,89896.5
Roanoke,Weekly,10/01/2021 00:00,Conventional,0.859346954,205756.91,63151.48,28954.66,33.22,47879.41,31900.09,4680.64,4486.38,65738.14
Sacramento,Weekly,10/01/2021 00:00,Conventional,1.106382187,568371.71,146071.62,173963.9,4912.45,106109.88,105809.76,69.3,0,137313.86
San Diego,Weekly,10/01/2021 00:00,Conventional,1.241231275,559618.65,103878.4,27271.79,17357.07,111104.44,98240.96,7339.5,4874.67,300006.95
San Francisco,Weekly,10/01/2021 00:00,Conventional,1.06159176,1047562.69,244664.64,199510.32,7802.06,143598.77,143127.97,25.2,0,451986.9
Seattle,Weekly,10/01/2021 00:00,Conventional,1.153218624,725636.64,85771.72,108727.35,286.84,85456.98,75724.47,5438.87,2483.16,445393.75
South Carolina,Weekly,10/01/2021 00:00,Conventional,0.893278313,552924.16,211951.96,46821.83,1143.98,181361.53,142168.82,22359.62,832.69,111644.86
Spokane,Weekly,10/01/2021 00:00,Conventional,0.931461584,104299.9,19869.44,16253.94,7.09,20069.56,17604.13,2273.91,0,48099.87
St. Louis,Weekly,10/01/2021 00:00,Conventional,0.830747769,253046.91,111723.35,18134.57,57.53,71078.7,65182.63,5780.25,0,52052.76
Syracuse,Weekly,10/01/2021 00:00,Conventional,1.112929559,98787.39,9413.26,41005.17,850.09,43865.92,40652.44,3049.2,0,3652.95
Tampa,Weekly,10/01/2021 00:00,Conventional,0.812673666,639882.3,247752.83,19448.21,18.4,192958.04,173211.36,83.74,19227.6,179704.82
Toledo,Weekly,10/01/2021 00:00,Conventional,0.862460099,149684.67,28680.64,29900.58,8276.68,32944.77,27781.07,936.99,3593.55,49882
West Tex/New Mexico,Weekly,10/01/2021 00:00,Conventional,0.681992418,961438.67,316632.13,100965.45,12955.92,354759.93,307122.38,8891.89,38154.81,176125.23
Wichita,Weekly,10/01/2021 00:00,Conventional,0.718662297,124890.11,31701.23,6107.24,16.11,37785.31,33156.28,2737.88,1435.73,49280.22
California,Weekly,10/01/2021 00:00,Conventional,1.133327226,6913269.84,1779204.54,715265.64,216794.99,1357404.96,1220330.92,40987.01,56938.44,2844599.72
Great Lakes,Weekly,10/01/2021 00:00,Conventional,0.998266563,4285299.61,775484.75,801637.94,252635.14,1051552.97,946869,22199.42,72202.13,1403988.81
Midsouth,Weekly,10/01/2021 00:00,Conventional,0.964635326,4291025.26,1345119.15,729713.2,14134.9,1402792.27,1106397.87,95057.42,52571.08,799265.75
Northeast,Weekly,10/01/2021 00:00,Conventional,1.127282147,5873961.35,479831.3,3109362.91,7288.23,1848685.03,1744509,86180.13,12823.65,428793.88
Plains,Weekly,10/01/2021 00:00,Conventional,0.919398298,2216093.34,687114.6,520059.31,1873.6,665250.67,561249.32,40150.61,51883.4,341795.17
South Central,Weekly,10/01/2021 00:00,Conventional,0.640815095,6931739.6,2673986.48,867329.44,85120.61,2117367.08,1880138.65,92283.32,135051.49,1187935.99
Southeast,Weekly,10/01/2021 00:00,Conventional,0.827905425,5770962.85,2422117.02,238332.5,2114.59,1664116.95,1444674.04,103613.87,88239.03,1444281.78
West,Weekly,10/01/2021 00:00,Conventional,0.892147703,8023565.9,1786559.95,958666.54,23798.89,1631782.57,1302831.5,76309.74,133699.18,3622757.95
Total U.S.,Weekly,10/01/2021 00:00,Conventional,0.931911803,44305917.75,11949417.78,7940367.48,603760.93,11738952.51,10207000.3,556781.52,603408.41,12073419.04
Albany,Weekly,10/01/2021 00:00,Organic,1.456758223,3811.16,54.44,411.4,0,3166.28,2461.8,0,0,179.03
